PointID,LatitudeDecimalDeg,LongitudeDecimalDeg,EllipsoidHeight,Northing,Easting,Elevation
5557_C,38.41876813,-82.3532671,458.88,13953863.41,1252830.096,560.452
5558_C,38.41876585,-82.3532855,459.26,13953862.66,1252824.812,560.832
5559_C,38.41876434,-82.3533058,459.307,13953862.2,1252818.991,560.88
5560_C,38.4187632,-82.3533253,458.753,13953861.86,1252813.4,560.325
5561_C,38.41876134,-82.35334379,458.786,13953861.26,1252808.093,560.358
5562_C,38.4187558,-82.35340368,458.98,13953859.5,1252790.909,560.551
5563_C,38.41875342,-82.35342809,458.881,13953858.73,1252783.905,560.453
5564_C,38.41875179,-82.35344922,458.719,13953858.23,1252777.844,560.291
5565_C,38.41874972,-82.35347105,458.741,13953857.57,1252771.581,560.313
5566_C,38.41874745,-82.35349445,458.978,13953856.84,1252764.867,560.55
5567_C,38.41873874,-82.35358033,459.312,13953854.03,1252740.224,560.884
5568_C,38.41873698,-82.35360306,459.304,13953853.49,1252733.703,560.875
5569_C,38.41873437,-82.35363426,459.282,13953852.67,1252724.753,560.854
5570_C,38.41873217,-82.35365854,459.178,13953851.97,1252717.788,560.749
5571_C,38.4187298,-82.35368378,459.301,13953851.21,1252710.544,560.872
5572_C,38.41872667,-82.35371849,459.277,13953850.22,1252700.587,560.848
5573_C,38.41872503,-82.35373629,459.239,13953849.7,1252695.479,560.81
5574_C,38.41872338,-82.35375459,459.249,13953849.17,1252690.228,560.821
5575_C,38.41872163,-82.35377312,459.296,13953848.61,1252684.912,560.867
